Agent_1,Agent_2,Agent_3,Agent_4,Agent_5,Agent_6,Agent_7,Agent_8,Agent_9,Agent_10,Phase,CollapseEvent
0.8062364268495186,0.4389741120954994,0.178796000650434,0.8721559829771568,0.8761539770967038,0.760324103905781,0.7309712169071926,0.3839533010941854,0.9261705348788739,0.0,1,0
0.6801635813796141,0.5058501945966057,0.27397450292802916,0.8201720276620531,0.8045088060973847,0.6717459141700888,0.7503259998771361,0.37878405401961507,0.8820522631613811,0.0836365816677492,1,0
0.7259294290951755,0.5137278725785,0.26092301609944263,0.768895413915914,0.7214064416324169,0.6028768353470899,0.7155896148628196,0.4438796512251194,0.9226525665562351,0.17754262732463502,1,0
0.6329171918907774,0.4767510697611502,0.29589132210042224,0.8888367526665816,0.6770315970192081,0.5790075168085375,0.7113460514765145,0.35852373926019865,0.8850940997546477,0.24148288999120143,1,0
0.5413975193459324,0.5095056375119579,0.2903151961146425,0.8355180330828732,0.7112920785108682,0.5101167769030445,0.651458375636366,0.447197299387987,0.7814105688904373,0.34914358362849224,1,0
0.44801043741758106,0.494895461624731,0.26145871284784705,0.7975413480158737,0.6154700327854368,0.5932927435476312,0.6005086676371038,0.5413331530965798,0.7543929842573566,0.37676914697539854,1,0
0.5681642166818461,0.5588442474797208,0.27879750328989333,0.7894191901188303,0.6213048077389336,0.5485819350330104,0.5722811565360806,0.4945774858305818,0.7286799544195965,0.392579075611451,1,1
0.49019164201840293,0.5696983177149544,0.3487630393680489,0.7091394273219248,0.7487066285502693,0.500209228859313,0.5731623613515798,0.5579280091746988,0.6888441245469167,0.31579533005330485,1,0
0.4514921712806399,0.6005072270006244,0.4432326010775347,0.6986973712521386,0.7059302970549401,0.48940589497955916,0.4926355047659674,0.5525508319298111,0.6057285742764448,0.36176947830442957,1,1
0.47064453498700287,0.5662582896512384,0.4367262306690022,0.5155093499880646,0.7737801866288181,0.5556826529958335,0.45009340168074025,0.6105067706445954,0.6294399780422794,0.4169403407236314,1,0
0.534508715540211,0.6879748637897135,0.4654003837712864,0.5473846765175759,0.819304149081479,0.5872457038744628,0.49487446841279015,0.6220338527839618,0.5484342277169524,0.4931219760257476,1,1
0.596054438938819,0.7218530359722365,0.5415734324864641,0.551257638115008,0.8078618888030558,0.6073663907032004,0.619578419865061,0.6353860194457432,0.4642184529312702,0.5291434900890222,1,0
0.6549587510450191,0.6079303456602383,0.5705585290296714,0.5717075054962399,0.8522963280814706,0.6228099814777615,0.6676631362233394,0.6616018095000517,0.5155391568136741,0.4715130415316644,1,1
0.6696875023913763,0.5713476772480718,0.5698109989502977,0.49632971894806344,0.8223560549168516,0.6006890440991304,0.7553044967476714,0.6410989057884651,0.4496901735932121,0.5136430934791736,1,0
0.61641492266112,0.5223153919583614,0.6213892714836456,0.5778661201741404,0.7707961883812986,0.5936486671063884,0.7061670957900291,0.6504284423610927,0.34024844686545064,0.5551494412248916,1,1
0.7367633034215373,0.5534053771142017,0.5830801868461716,0.5186915681396206,0.7618073640884818,0.6693155958024624,0.6581175340333885,0.5251406921559907,0.38939941768747505,0.5423986942784649,2,0
0.6997366661652871,0.5382250999212211,0.5174679123737508,0.4676267424207675,0.6694249658322973,0.6164757379988972,0.6590116545131722,0.5711775630890634,0.43213892192713405,0.5441847927642263,2,1
0.6934252223456202,0.5774881103694378,0.5461735922515453,0.4693552531306686,0.6411018243371203,0.610308297764356,0.6513589531211343,0.5872807702679423,0.3914632636308184,0.5740442208359878,2,0
0.6930298205414747,0.5272031862848788,0.5074528306527536,0.44685878757522257,0.6035353199022766,0.6167243607821993,0.6091026357139937,0.5756228600780298,0.47783614008916603,0.5367444484235598,2,1
0.6998897898653389,0.487472308524706,0.5201731387812546,0.5098131791067544,0.5637392439171176,0.5343049864607347,0.6164627590627341,0.5697217158164599,0.4531703072849718,0.5820117932312203,2,0
0.6255289179274256,0.4913025554546309,0.5825482646467963,0.5454793419209459,0.6073808100596426,0.4867654973837251,0.6433340957188869,0.5556627427990793,0.5340529088893246,0.49846330796262894,2,1
0.620726066991815,0.5313037594310416,0.6005186965732824,0.5849519156341032,0.6287297122896675,0.4440054958412808,0.7279736561597835,0.6389888476324554,0.4707333922907266,0.5254368536818612,2,0
0.6218379528580138,0.5845791010480501,0.6583571060658437,0.6109657085908158,0.6386044703448605,0.44634368550626136,0.7075682202118787,0.6324764758548335,0.5545886800718736,0.5871077851583655,2,1
0.7037539598492393,0.6173504709375152,0.7488973224708508,0.6310847800710104,0.5319450050799676,0.5495770274116522,0.7013246830781643,0.6479854021690221,0.5452870601631076,0.5286996815603455,2,0
0.7292721322919031,0.6719498331093758,0.7670668013085595,0.5732825952334675,0.5267219840703387,0.5184975864774779,0.7607711090030005,0.6351710002783338,0.49357344540539316,0.5089367617597137,2,1
0.6977220785867185,0.6534247681178073,0.7701172939991812,0.5135240512456374,0.4824942474774156,0.569960397111841,0.7228014966368782,0.6972656188276917,0.5475135477399041,0.6035597221709698,2,0
0.7028523868964783,0.6558442153358905,0.7469087957352661,0.489560194244595,0.4768062038759899,0.5677778442750627,0.75582929472542,0.6396018445610824,0.5577175759089108,0.6629617177473899,2,1
0.6249013838287948,0.5606499685070323,0.7236029587009742,0.4993543581871685,0.4893439643379014,0.5188914205027938,0.7042313188514722,0.6427899165184975,0.5270320187048358,0.6799555248424454,2,0
