Agent_1,Agent_2,Agent_3,Agent_4,Agent_5,Agent_6,Agent_7,Agent_8,Agent_9,Agent_10,Phase,CollapseEvent,AI_Memory
0.6242055228503477,0.511553147250702,0.7277844403765655,0.05972936249239022,0.8229562652235262,0.8006244710591718,0.16208821734399315,0.8521236993334286,0.5315302589116464,0.2937463169432821,1,0,0.0
0.6716039803491199,0.5681196434127207,0.6623699502016946,0.13659428160176817,0.7696311583095725,0.7979497311448119,0.2348715151507134,0.8038139699571865,0.46267287712916866,0.33809934790281837,1,0,0.0
0.5814864969677338,0.5085472449965973,0.6130219151933964,0.16921649760949395,0.6794199651818873,0.8432385498853731,0.18901210010845582,0.7833820257092309,0.41469694439189975,0.4321515174386776,1,0,0.0
0.5555290570580039,0.5109389274024718,0.6547651129706695,0.1065308652423333,0.6490341647528056,0.855211746388655,0.23187004360309577,0.7504555320130616,0.37479400167582844,0.40819710438346085,1,0,0.0
0.515352766402456,0.526870355555753,0.6958552848083864,0.13083967609728253,0.6471643064887593,0.8180378125597985,0.2034240609247235,0.7518728119584477,0.45113376305308556,0.5653907009034447,1,0,0.0
0.523378366081497,0.512105534876159,0.6334425235176074,0.18500097162637347,0.6399504884887733,0.9149958204729907,0.15194566048582575,0.8115546349461735,0.4662892716140997,0.5022053308847921,1,0,0.0
0.5475333774056564,0.4363322484205879,0.6315280165134146,0.22237047470304094,0.6303699515191864,0.8364388033657292,0.24491897027149168,0.8292049522671521,0.47929054503508,0.4280736325447291,1,0,0.0
0.5875262679202062,0.40578575184103266,0.5419542135871068,0.2435288607893082,0.5924183163906049,0.7599100723485888,0.32061030651538674,0.9388180039905443,0.4663348739725867,0.42508985492718054,1,0,0.0
0.5599119908455117,0.4078990964834625,0.4164906501742727,0.2173718432330696,0.5747610353377013,0.7568636351207487,0.26688082214454284,0.9008611583388758,0.537750484118375,0.41567589839324903,1,0,0.0
0.5299975788626992,0.45038654798100936,0.3672974381803821,0.3151027546707927,0.5282348281018135,0.7858883307428856,0.3443260116267316,0.9159460298415053,0.5767735506388456,0.49535484564635324,1,0,0.0
0.5655303373405723,0.34495557141371486,0.3924047301297121,0.35028308138403413,0.519932132975831,0.7256050019183935,0.41130639478885545,0.8438297200189927,0.6190204559089312,0.5428553507925341,1,0,0.0
0.6724285995574006,0.3682903268912005,0.40469297498455326,0.3392282676522206,0.4854644206773927,0.6750823001589042,0.4600280038571768,0.8042608816796061,0.6504044295814327,0.5330359726462406,1,0,0.0
0.6687273913992077,0.3185957195592982,0.5096883214294168,0.26285403776763294,0.4567813722734203,0.5995964399209469,0.43631518189915625,0.7696930486732952,0.7196583132495159,0.5409782767585114,1,0,0.0
0.6448796754204834,0.3800894949346838,0.6008106797646047,0.3344277601688185,0.5429233282923295,0.5797353163530615,0.44119038659311743,0.7417979413077911,0.8008451681042943,0.5471789878297834,1,1,0.0
0.66026086286414,0.3729225836718577,0.5885907851557445,0.3383896958796272,0.5393230659374435,0.6356467947287537,0.4504662053556526,0.6902598282269007,0.8460898952338392,0.5088517652957197,1,0,0.0
